id,author,rating,content,review_time,country,version,game_cd
review-2820729,5bCP55O25a2Q5a626Iqx6Iqx,1,6LSm5Y+35byC5bi455m75LiN6L+b5Y676IO95LiN6IO957uZ5Liq6YCa55+l77yf6KaB5bCB5oiR5Y+v5Lul6K+06K+05bCB5aSa5LmF5LiN77yf5oiR6L+Y6KaB5Y675omT5LuX5ZWK,2017-07-28 00:44:26,cn,0.0.78,1012
review-2820354,8J+SjuWQjeWtl+WKoOi9veS4reOAguOAguOAguOAgvCfko4=,1,57O757uf5ryP5rSe77yM546p5a625Y676IOM6ZSF77yM5ZG15ZG177yM5Yiw5aSE6YO95piv5ouW,2017-07-28 00:14:56,cn,0.0.78,1012
review-2819557,5LiN5piO55yf55u455qE5ZCD55Oc576k5LyX,1,546p5LuA5LmI77yf546p5LiN546p5LqG,2017-07-27 23:24:58,cn,0.0.78,1012
review-2817898,55yL77yM5aSq6Ziz,1,6L+Z5LiN5bCx5pivY29r5LmI,2017-07-27 22:18:45,cn,0.0.78,1012
review-2818242,6I6r55u45qy6,1,5b+D57Sv77ya,2017-07-27 22:13:35,cn,0.0.78,1012
review-2816953,5pmT5a6H5a6d6LSd,5,5pys5Lq6MTE15Yy65qKn5qGQ,2017-07-27 21:06:06,cn,0.0.78,1012
review-2816653,6Lef5biF5ZOl6IGK5aSp5Lya6IS457qi,1,5Y2B5L2Z5aSp552h6KeJ6YO95Y2K5aSc6LW35p2l6YeH6ZuG77yM6YCg5YW177yM5YWF5YC85LiK5Y2D5YWDUk1C55qE5Y+35LqO5LuK5aSpMjAuMDDooqvlsIHlgZw=,2017-07-27 20:58:55,cn,0.0.78,1012
review-2816444,5bCP54GP,3,5a+577yM5oiR5Yip55So5ri45oiP5ryP5rSe5Yi35Ye6MTEwMOS9meelneemj+W4ge+8jOS9huaYr++8jOS9oOS7rOa4uOaIj+WumOaWueWPr+WPiOaciei/h+iupOecn+WBmuS4gOS4quWlvea4uOaIj++8n+a0u+WKqOeJiOmdoueyl+ezmeS4jeWgqu+8jOaIkeWkmuS6huWHoOS4i+mihuWPluiAjOW3su+8jOWwseaciTExMDDkvZnnpZ3npo/luIHmmK/mgKrmiJHkuYjvvJ8=,2017-07-27 20:38:34,cn,0.0.78,1012
review-2816437,QUlNRUU=,4,5oiR5YWF5YC85LqGMTAwMOS9meWFg++8jOi+m+iLpu+8jOi1t+aXqei0qum7keeahOeIrOS4iuS6hjExNeWMuuesrDIw5ZCN55qE5a6d5bqn77yM,2017-07-27 20:37:56,cn,0.0.78,1012
review-2816249,5ZOl5piv55+l6YGT5paw5omL,3,5oiR5LuO5pyq5Zyo5p+Q5a6d5Lmw6L+H5oqY5omj5Lu377yM5Lmf5LuO5pyq55So6L+H5aSW5oyC77yM6ICM5aSa5bCR5Lq65Lmw5LqG5p+Q5a6d55qE5oqY5omj77yf5oiR5YWJ55+l6YGT55qE5bCx5LiN5LiL5LiA5o6M5LmL5pWw77yM5L2G5LuW5Lus77yM5Y205LuO5pyq5bCB5YGc77yB,2017-07-27 20:25:27,cn,0.0.78,1012
review-2816137,5oiR5piv5YWo55CD6ZmQ6YeP5LuF5LiA5qy+QA==,5,6ICM5oiR77yM5LiN6L+H5piv5Yip55So5LqG5L2g5Lus6Ieq5bex57KX57OZ54OC5Yi255qE57O757uf55WM6Z2i6ICM5bey77yM5oCq5oiR5LmI77yf5ri45oiP5a6Y5pa555qE6ZSZ6K+v6KaB5oCq5Yiw5oiR6L+Z5Liq5raI6LS56ICF6Lqr5LiK5LmI77yB77yB,2017-07-27 20:19:27,cn,0.0.78,1012
review-2815766,7ISx7Jqx5pet,1,5L2g5Lus5ri45oiP5a6Y5pa577yM55u05o6l5LiA5aOw5LiN5ZON55qE5bCB5YGc5LqG5oiR55qE5biQ5Y+377yB77yB77yB77yB,2017-07-27 19:57:06,cn,0.0.78,1012
review-2815725,6b6Z6LeD,5,5oiR6ZyA6KaB5LiA5Liq6Kej6YeK,2017-07-27 19:54:24,cn,0.0.78,1012
review-2815468,5pmv5pyq5aSu,5,6L+Z5Liq5ri45oiP5L2g5LiN5YWF6ZKx546p5LiN5LiL5Y6777yM5YWF6ZKx5oiY5paX5Yqb5bCx5Yiw77yM5LiN5YWF6ZKx5Y+q6IO96KKr5omT77yM,2017-07-27 19:36:43,cn,0.0.78,1012
review-2815022,4pWw4oub4ouL4oqx4ouL5a6H44CB54aZ4ouM4oqw4ouM4oua,3,5Yia546p5YWI55yL55yL,2017-07-27 19:10:49,cn,0.0.78,1012
